accuracy,max_depth,min_sample_split,impurity_t,type
0.7292852624920936,2,200,entropy,val
0.7292852624920936,2,200,gini,val
0.7292852624920936,2,220,entropy,val
0.7292852624920936,2,220,gini,val
0.7292852624920936,2,240,entropy,val
0.7292852624920936,2,240,gini,val
0.7292852624920936,2,260,entropy,val
0.7292852624920936,2,260,gini,val
0.7292852624920936,2,280,entropy,val
0.7292852624920936,2,280,gini,val
0.7292852624920936,2,300,entropy,val
0.7292852624920936,2,300,gini,val
0.7292852624920936,2,320,entropy,val
0.7292852624920936,2,320,gini,val
0.7292852624920936,2,340,entropy,val
0.7292852624920936,2,340,gini,val
0.7292852624920936,2,360,entropy,val
0.7292852624920936,2,360,gini,val
0.7292852624920936,2,380,entropy,val
0.7292852624920936,2,380,gini,val
0.7292852624920936,2,400,entropy,val
0.7292852624920936,2,400,gini,val
0.7292852624920936,2,420,entropy,val
0.7292852624920936,2,420,gini,val
0.7292852624920936,2,440,entropy,val
0.7292852624920936,2,440,gini,val
0.7292852624920936,2,460,entropy,val
0.7292852624920936,2,460,gini,val
0.7292852624920936,2,480,entropy,val
0.7292852624920936,2,480,gini,val
0.7292852624920936,2,500,entropy,val
0.7292852624920936,2,500,gini,val
0.7292852624920936,2,520,entropy,val
0.7292852624920936,2,520,gini,val
0.7292852624920936,2,540,entropy,val
0.7292852624920936,2,540,gini,val
0.7292852624920936,2,560,entropy,val
0.7292852624920936,2,560,gini,val
0.7292852624920936,2,580,entropy,val
0.7292852624920936,2,580,gini,val
0.702719797596458,3,200,entropy,val
0.702719797596458,3,200,gini,val
0.702719797596458,3,220,entropy,val
0.702719797596458,3,220,gini,val
0.702719797596458,3,240,entropy,val
0.702719797596458,3,240,gini,val
0.7077798861480076,3,260,entropy,val
0.7077798861480076,3,260,gini,val
0.7248576850094877,3,280,entropy,val
0.7248576850094877,3,280,gini,val
0.7248576850094877,3,300,entropy,val
0.7248576850094877,3,300,gini,val
0.7273877292852625,3,320,entropy,val
0.7273877292852625,3,320,gini,val
0.7273877292852625,3,340,entropy,val
0.7273877292852625,3,340,gini,val
0.7286527514231499,3,360,entropy,val
0.7286527514231499,3,360,gini,val
0.7286527514231499,3,380,entropy,val
0.7286527514231499,3,380,gini,val
0.7292852624920936,3,400,entropy,val
0.7292852624920936,3,400,gini,val
0.7292852624920936,3,420,entropy,val
0.7292852624920936,3,420,gini,val
0.7292852624920936,3,440,entropy,val
0.7292852624920936,3,440,gini,val
0.7292852624920936,3,460,entropy,val
0.7292852624920936,3,460,gini,val
0.7292852624920936,3,480,entropy,val
0.7292852624920936,3,480,gini,val
0.7292852624920936,3,500,entropy,val
0.7292852624920936,3,500,gini,val
0.7292852624920936,3,520,entropy,val
0.7292852624920936,3,520,gini,val
0.7292852624920936,3,540,entropy,val
0.7292852624920936,3,540,gini,val
0.7292852624920936,3,560,entropy,val
0.7292852624920936,3,560,gini,val
0.7292852624920936,3,580,entropy,val
0.7292852624920936,3,580,gini,val
0.7008222643896268,4,200,entropy,val
0.7008222643896268,4,200,gini,val
0.7008222643896268,4,220,entropy,val
0.7008222643896268,4,220,gini,val
0.7008222643896268,4,240,entropy,val
0.7008222643896268,4,240,gini,val
0.7077798861480076,4,260,entropy,val
0.7077798861480076,4,260,gini,val
0.7248576850094877,4,280,entropy,val
0.7248576850094877,4,280,gini,val
0.7248576850094877,4,300,entropy,val
0.7248576850094877,4,300,gini,val
0.7273877292852625,4,320,entropy,val
0.7273877292852625,4,320,gini,val
0.7273877292852625,4,340,entropy,val
0.7273877292852625,4,340,gini,val
0.7286527514231499,4,360,entropy,val
0.7286527514231499,4,360,gini,val
0.7286527514231499,4,380,entropy,val
0.7286527514231499,4,380,gini,val
0.7292852624920936,4,400,entropy,val
0.7292852624920936,4,400,gini,val
0.7292852624920936,4,420,entropy,val
0.7292852624920936,4,420,gini,val
0.7292852624920936,4,440,entropy,val
0.7292852624920936,4,440,gini,val
0.7292852624920936,4,460,entropy,val
0.7292852624920936,4,460,gini,val
0.7292852624920936,4,480,entropy,val
0.7292852624920936,4,480,gini,val
0.7292852624920936,4,500,entropy,val
0.7292852624920936,4,500,gini,val
0.7292852624920936,4,520,entropy,val
0.7292852624920936,4,520,gini,val
0.7292852624920936,4,540,entropy,val
0.7292852624920936,4,540,gini,val
0.7292852624920936,4,560,entropy,val
0.7292852624920936,4,560,gini,val
0.7292852624920936,4,580,entropy,val
0.7292852624920936,4,580,gini,val
